Author,Date,Text,Comment,Retweet,Like
@MounirAjam,1 sa,"""Clarification and Request for Next Step "" by SUKAD Corp (Uruk Solutions) https://wefunder.com/updates/126747 #equity #crowdfunding #tech #startup",0,0,0
@Optum,-,Mental health impacts and connects us all. On World Mental Health Day let’s work together to destigmatise chronic and situational mental health issues and get people the help they may need particularly during uncertain times. https://optum.co/ksg2f,1,1,27
@RanjitK80479376,8s,Close Odisha Startup Portal such a waste of time is not required. The worst portal I have even seen where nobody is serious and a request is pending for ages and even if they take action they reject it without calling you.,0,0,0
@RanjitK80479376,8s,Odisha Startup is just a waste of time as despite you give all the details documents and information they ask they love to reject your application for any fund support.  I request to close this portal which is nothing to do with entrepreneurs of Odisha.,0,0,0
@RanjitK80479376,8s,Sir Do something for the entrepreneurs of Odisha. They made a fake Odisha startup and giving nothing and rejecting all our requests when we are asking for support. Please save our business.,0,0,0
@tryapprio,11s,@Request4Startup We are helping business leaders with building robust project plans. check us out! #RequestForStartup,0,0,0
@simplyrecruitSR,12s,Distil Assessment is now using #SimplyRecruit® for their #recruitment. We are glad to welcome on board! Request your free 1 month trial @ http://ow.ly/Bzl050zCldR #HumanResource #Hiring #ResumeBank #PerfectHiring #FasterHiring #LateralHiring #VolumeHiring #india #startup #hr,0,1,0
@5harath,15s,Is there a @sandwich video for maker products?   If no then that's a #requestforstartup,4,1,6
@MoBusinessAlert,15s,@TheSandboxKC works to move early-stage entrepreneurs from concept to commercialization. Funding amounts were not disclosed for the four latest startups on the roster but each company in the program may request up to $20000.,0,0,1
@nanotech44,16s,What are @cyantist 's requests for startups (companies she would like to see founded and the problems they would solve) in these categories: * Robo-mining: ? * 1/100 cost medical devices: ? * City design: ? * Wearables and biomonitoring: ? * Applications of neural nets: ?,0,0,0
@Thatuniverseguy,8 Eki,It's really feels good to see the responses on #BABAKADHABA !!  Just a little request like u support this unknown identity also support your know one ! If your friend is doing a small startup don't say give me discount or some samples for free   Next,1,0,2
@the_soniab,8 Eki,That's so insightful   Thank you @gaganbiyani . Would request everyone to read this! If you are a startup and looking for funding :),0,0,1
@mattdanna,8 Eki,Request for startups: Akismet for @LinkedIn. My account has become unusable.,1,0,0
@gijnAfrica,8 Eki,Through our Help Desk GIJN responds to requests for assistance including help on reporting data searches developing sources distribution finding contacts fundraising startups nonprofits and more. Write to us here: https://buff.ly/2JqE64U. @PlatformMalawi @AfricanIIJ,0,1,1
@momshienaa,8 Eki,I read the article and this event is really huge for SB19! Let's make it a success A'Tin :)   REQUEST @SB19Official @MTV #FridayLivestream #1ArawHanggangSaHuli  Aussie livestream startup Global Live offers cash advances to artists,1,50,42
@jochemgerritsen,7 Eki,REQUEST - For our community of European entrepreneurs I'm creating a mentor list.  Our mentors will be able to help entrepreneurs/startups active in Enter Network with a variety of problems and challenges.,1,0,1
@sannacode,7 Eki,Sannacode team prepared recommendations for you on how to write a correct request to a software partner.  In the article we have posted a free template of requests used in our company. Get it by the link: https://lnkd.in/dXTwXzP #sannacode_blog #startup #RFP,0,0,1
@SnipeStudioz,7 Eki,How much money will it take to start your small business? Calculate the startup costs for your small business so you can request funding attract investors and estimate when you’ll turn a profit.  #startupbusiness #digitaltransformation #mobileapp #mobileappdevelopment,0,1,1
@SyedRehanMazhar,7 Eki,3/3  I have a startup that aims to do this but I am facing hurdles from the corrupt mafia of the industry I request the government to help/back me to end corruption. We promise to give you effective data for policy making.   @ImranKhanPTI @AliZaidiNews,0,0,0
@DomainFQ,7 Eki,. . Domain Listed For Sale   http://ElectricVehicleInc.com  Price upon Request #ElectricVehicleInc #electricvehicle #ev #electriccar #tesla #electricscooter #electric #electriccars #electricvehicles #zeroemissions #teslamodel #electricvehicles #Brand #Branding #Startup #domain,1,5,6
@VC_watcher,5 Eki,Requests For Proposals - Creating Hope in Conflict https://humanitariangrandchallenge.org/rfps/ see more http://tweetedtimes.com/v/1160?s=tnp,0,0,0
@simplyrecruitSR,5 Eki,Haulplus is now using #SimplyRecruit® for their #recruitment. We are glad to welcome on board! Request your free 1 month trial @ http://ow.ly/Bzl050zCldR #HumanResource #Hiring #ResumeBank #EasyHiring #PerfectHiring #FasterHiring #india #startup #hr #workfromhome #stayhome,0,1,0
@HimaanshuMeet,5 Eki,@akhushraj Hello Mr Abhinav: pleasure to meet you: well I would like to speak you on Business Proposal: I've extensive experience to support product & service based startups as recruitment vendor. Request you to share your official mail ID for next moves.,0,0,0
@freshkidtobi,5 Eki,or you're willing to be an early bird angel investor. Kindly send an e-mail to Arewaitech@gmail.com with the subject 'EOI in startup. The proposals are available for perusal on request.   Kindly retweet. Thanks #startup #angel investors #ICT #grants,3,0,0
@epicsuperstar,5 Eki,Request for startups: an card/wallet that deters overspending by telling you how much your purchase is as a % of your networth. Rewards you when you don't spend.   #sorryeconomy #paradoxofthriftnot #intelligentthrifting   ???,0,0,0
